delivery_start,resolution_minutes,price
2017-12-31T23:00:00Z,60,-10.00
2018-01-01T00:00:00Z,60,-19.00
2018-01-01T01:00:00Z,60,-20.10
2018-01-01T02:00:00Z,60,-26.90
2018-01-01T03:00:00Z,60,-27.50
2018-01-01T04:00:00Z,60,-34.00
2018-01-01T05:00:00Z,60,-35.00
2018-01-01T06:00:00Z,60,-30.00
2018-01-01T07:00:00Z,60,-35.00
2018-01-01T08:00:00Z,60,-21.00
2018-01-01T09:00:00Z,60,-4.01
2018-01-01T10:00:00Z,60,-2.00
2018-01-01T11:00:00Z,60,-4.01
2018-01-01T12:00:00Z,60,-2.01
2018-01-01T13:00:00Z,60,1.85
2018-01-01T14:00:00Z,60,6.03
2018-01-01T15:00:00Z,60,15.00
2018-01-01T16:00:00Z,60,22.38
2018-01-01T17:00:00Z,60,25.99
2018-01-01T18:00:00Z,60,26.54
2018-01-01T19:00:00Z,60,28.70
2018-01-01T20:00:00Z,60,26.00
2018-01-01T21:00:00Z,60,25.02
2018-01-01T22:00:00Z,60,17.35
2018-01-01T23:00:00Z,60,17.99
2018-01-02T00:00:00Z,60,16.91
2018-01-02T01:00:00Z,60,13.92
2018-01-02T02:00:00Z,60,10.27
2018-01-02T03:00:00Z,60,12.70
2018-01-02T04:00:00Z,60,17.99
2018-01-02T05:00:00Z,60,27.65
2018-01-02T06:00:00Z,60,35.97
2018-01-02T07:00:00Z,60,39.80
2018-01-02T08:00:00Z,60,43.64
2018-01-02T09:00:00Z,60,43.64
2018-01-02T10:00:00Z,60,44.47
2018-01-02T11:00:00Z,60,44.00
2018-01-02T12:00:00Z,60,42.28
2018-01-02T13:00:00Z,60,41.82
2018-01-02T14:00:00Z,60,41.50
2018-01-02T15:00:00Z,60,45.62
2018-01-02T16:00:00Z,60,48.34
2018-01-02T17:00:00Z,60,46.00
2018-01-02T18:00:00Z,60,42.17
2018-01-02T19:00:00Z,60,38.65
2018-01-02T20:00:00Z,60,34.00
2018-01-02T21:00:00Z,60,30.00
2018-01-02T22:00:00Z,60,21.77
2018-01-02T23:00:00Z,60,9.60
2018-01-03T00:00:00Z,60,5.30
2018-01-03T01:00:00Z,60,0.31
2018-01-03T02:00:00Z,60,-1.97
2018-01-03T03:00:00Z,60,0.99
2018-01-03T04:00:00Z,60,9.91
2018-01-03T05:00:00Z,60,22.49
2018-01-03T06:00:00Z,60,35.00
2018-01-03T07:00:00Z,60,39.47
2018-01-03T08:00:00Z,60,40.60
2018-01-03T09:00:00Z,60,39.14
2018-01-03T10:00:00Z,60,34.56
2018-01-03T11:00:00Z,60,35.10
2018-01-03T12:00:00Z,60,36.00
2018-01-03T13:00:00Z,60,36.09
2018-01-03T14:00:00Z,60,40.00
2018-01-03T15:00:00Z,60,42.00
2018-01-03T16:00:00Z,60,40.68
2018-01-03T17:00:00Z,60,39.10
2018-01-03T18:00:00Z,60,38.00
2018-01-03T19:00:00Z,60,34.08
2018-01-03T20:00:00Z,60,21.72
2018-01-03T21:00:00Z,60,10.42
2018-01-03T22:00:00Z,60,0.37
2018-01-03T23:00:00Z,60,-5.00
2018-01-04T00:00:00Z,60,-5.05
2018-01-04T01:00:00Z,60,-16.50
2018-01-04T02:00:00Z,60,-12.30
2018-01-04T03:00:00Z,60,-4.70
2018-01-04T04:00:00Z,60,5.00
2018-01-04T05:00:00Z,60,15.00
2018-01-04T06:00:00Z,60,28.00
2018-01-04T07:00:00Z,60,35.90
2018-01-04T08:00:00Z,60,39.93
2018-01-04T09:00:00Z,60,42.76
2018-01-04T10:00:00Z,60,43.99
2018-01-04T11:00:00Z,60,44.00
2018-01-04T12:00:00Z,60,43.80
2018-01-04T13:00:00Z,60,44.00
2018-01-04T14:00:00Z,60,45.00
2018-01-04T15:00:00Z,60,49.99
2018-01-04T16:00:00Z,60,51.00
2018-01-04T17:00:00Z,60,50.71
2018-01-04T18:00:00Z,60,48.32
2018-01-04T19:00:00Z,60,41.10
2018-01-04T20:00:00Z,60,29.33
2018-01-04T21:00:00Z,60,26.00
2018-01-04T22:00:00Z,60,19.40
2018-01-04T23:00:00Z,60,9.32
2018-01-05T00:00:00Z,60,5.05
2018-01-05T01:00:00Z,60,0.96
2018-01-05T02:00:00Z,60,0.55
2018-01-05T03:00:00Z,60,3.29
2018-01-05T04:00:00Z,60,5.01
2018-01-05T05:00:00Z,60,19.20
2018-01-05T06:00:00Z,60,29.77
2018-01-05T07:00:00Z,60,38.73
2018-01-05T08:00:00Z,60,40.30
2018-01-05T09:00:00Z,60,40.70
2018-01-05T10:00:00Z,60,41.80
2018-01-05T11:00:00Z,60,40.70
2018-01-05T12:00:00Z,60,39.74
2018-01-05T13:00:00Z,60,39.46
2018-01-05T14:00:00Z,60,39.60
2018-01-05T15:00:00Z,60,44.80
2018-01-05T16:00:00Z,60,50.08
2018-01-05T17:00:00Z,60,50.29
2018-01-05T18:00:00Z,60,46.57
2018-01-05T19:00:00Z,60,42.00
2018-01-05T20:00:00Z,60,37.08
2018-01-05T21:00:00Z,60,35.50
2018-01-05T22:00:00Z,60,31.23
2018-01-05T23:00:00Z,60,27.50
2018-01-06T00:00:00Z,60,27.10
2018-01-06T01:00:00Z,60,24.90
2018-01-06T02:00:00Z,60,23.57
2018-01-06T03:00:00Z,60,23.90
2018-01-06T04:00:00Z,60,24.42
2018-01-06T05:00:00Z,60,27.20
2018-01-06T06:00:00Z,60,27.84
2018-01-06T07:00:00Z,60,34.41
2018-01-06T08:00:00Z,60,37.17
2018-01-06T09:00:00Z,60,39.10
2018-01-06T10:00:00Z,60,40.55
2018-01-06T11:00:00Z,60,39.94
2018-01-06T12:00:00Z,60,39.45
2018-01-06T13:00:00Z,60,38.21
2018-01-06T14:00:00Z,60,39.89
2018-01-06T15:00:00Z,60,41.70
2018-01-06T16:00:00Z,60,46.00
2018-01-06T17:00:00Z,60,45.02
2018-01-06T18:00:00Z,60,42.68
2018-01-06T19:00:00Z,60,36.52
2018-01-06T20:00:00Z,60,31.96
2018-01-06T21:00:00Z,60,32.00
2018-01-06T22:00:00Z,60,27.00
2018-01-06T23:00:00Z,60,21.16
2018-01-07T00:00:00Z,60,15.92
2018-01-07T01:00:00Z,60,14.80
2018-01-07T02:00:00Z,60,13.23
2018-01-07T03:00:00Z,60,14.20
2018-01-07T04:00:00Z,60,12.78
2018-01-07T05:00:00Z,60,12.90
2018-01-07T06:00:00Z,60,14.50
2018-01-07T07:00:00Z,60,18.00
2018-01-07T08:00:00Z,60,23.20
2018-01-07T09:00:00Z,60,26.85
2018-01-07T10:00:00Z,60,29.44
2018-01-07T11:00:00Z,60,27.07
